person,gloss,tense,tense_translation,tense_base,preverb,preverb_translation,preverb_base,verb,verb_base,verb_type,verb_translation,object,object_translation,object_base,subject,subject_translation,subject_base,mode,mode_translation,mode_base,conjugation
,ati-mîciVTI-NI3sg-2PL-prs-imp-,prs,present,-,ati,begin to,ati,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2PL,you all,kiyanâwâw,imp,Imperative,-,atimîcik
,ati-mîciVTI-NI3sg-2I-prs-imp-,prs,present,-,ati,begin to,ati,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2I,we (and you),kiyanaw,imp,Imperative,-,atimîcitân
,ati-mîciVTI-NI3sg-2SG-prs-imp-,prs,present,-,ati,begin to,ati,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2SG,you,kiya,imp,Imperative,-,atimîci
,ati-atawêVAIT-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atihatawêk
,ati-atawêVAIT-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atihatawêtân
,ati-atawêVAIT-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atihatawê
,ati-mêtawêVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atimêtawêk
,ati-mêtawêVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atimêtawêtân
,ati-mêtawêVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atimêtawê
,ati-wâpiVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atiwâpik
,ati-wâpiVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atiwâpitân
,ati-wâpiVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atiwâpi
,ati-waniskaVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atiwaniskak
,ati-waniskaVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atiwaniskatân
,ati-waniskaVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atiwaniska
,ati-nipaVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atinipak
,ati-nipaVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atinipatân
,ati-nipaVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atinipa
,ati-tapasiVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atitapasik
,ati-tapasiVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atitapasitân
,ati-tapasiVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atitapasi
,ati-pimipahtaVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atipimipahtak
,ati-pimipahtaVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atipimipahtatân
,ati-pimipahtaVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,pimipahtaVAI,pimipahta,VAI,run,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atipimipahta
,ati-nipawiVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atinipawik
,ati-nipawiVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atinipawitân
,ati-nipawiVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,nipawiVAI,nipawi,VAI,stand,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atinipawi
,ati-nanâskomoVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atinanâskomok
,ati-nanâskomoVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atinanâskomotân
,ati-nanâskomoVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,nanâskomoVAI,nanâskomo,VAI,be grateful,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atinanâskomo
,ati-apiVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,apiVAI,api,VAI,sit,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atihapik
,ati-apiVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,apiVAI,api,VAI,sit,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atihapitân
,ati-apiVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,apiVAI,api,VAI,sit,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atihapi
,ati-mîcisoVAI-NONE-2PL-prs-imp-,prs,present,-,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,atimîcisok
,ati-mîcisoVAI-NONE-2I-prs-imp-,prs,present,-,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,atimîcisotân
,ati-mîcisoVAI-NONE-2SG-prs-imp-,prs,present,-,ati,begin to,ati,mîcisoVAI,mîciso,VAI,eat,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,atimîciso
,nitawi-mîciVTI-NI3sg-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawimîcik
,nitawi-mîciVTI-NI3sg-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2I,we (and you),kiyanaw,imp,Imperative,-,nitawimîcitân
,nitawi-mîciVTI-NI3sg-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,mîciVTI,mîci,VTI,eat it,NI3sg,It (inanimate),ôma,2SG,you,kiya,imp,Imperative,-,nitawimîci
,nitawi-atawêVAIT-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawihatawêk
,nitawi-atawêVAIT-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawihatawêtân
,nitawi-atawêVAIT-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,atawêVAIT,atawê,VAIT,buy something,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawihatawê
,nitawi-mêtawêVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawimêtawêk
,nitawi-mêtawêVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawimêtawêtân
,nitawi-mêtawêVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,mêtawêVAI,mêtawê,VAI,play,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawimêtawê
,nitawi-wâpiVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawiwâpik
,nitawi-wâpiVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawiwâpitân
,nitawi-wâpiVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,wâpiVAI,wâpi,VAI,see,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawiwâpi
,nitawi-waniskaVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawiwaniskak
,nitawi-waniskaVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawiwaniskatân
,nitawi-waniskaVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,waniskaVAI,waniska,VAI,wake up,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawiwaniska
,nitawi-nipaVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawinipak
,nitawi-nipaVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawinipatân
,nitawi-nipaVAI-NONE-2SG-prs-imp-,prs,present,-,nitawi,good at,nitawi,nipaVAI,nipa,VAI,sleep,NONE,No object,-,2SG,you,kiya,imp,Imperative,-,nitawinipa
,nitawi-tapasiVAI-NONE-2PL-prs-imp-,prs,present,-,nitawi,good at,nitawi,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2PL,you all,kiyanâwâw,imp,Imperative,-,nitawitapasik
,nitawi-tapasiVAI-NONE-2I-prs-imp-,prs,present,-,nitawi,good at,nitawi,tapasiVAI,tapasi,VAI,run away,NONE,No object,-,2I,we (and you),kiyanaw,imp,Imperative,-,nitawitapasitân
